Price,Beds,Baths
779900,3,2
799999,3,1
799900,2,2
1200000,4,2
668800,1,1
548000,0,1
669900,2,1
699000,2,2
978000,3,2
958000,2,2
1899000,2,3
559900,2,1
498800,1,1
1450000,4,2
650000,2,1
745000,2,2
784900,3,2
998000,4,2
989900,4,2
1099000,3,2
459900,0,1
590000,2,2
899900,2,2
585000,2,1
899000,3,2
488000,1,1
650000,2,2
498000,2,1
499900,0,1
1595000,3,3
718000,1,1
1350000,2,2
499900,0,1
999000,3,2
819000,2,1
639000,1,1
799900,3,2
789900,2,2
549900,1,1
1149900,3,1
2699900,4,3
1299000,6,3
1588000,4,2
564000,1,1
1195000,3,2
515000,1,1
1298800,5,2
1050000,2,2
1190000,3,4
2688000,4,4
835500,2,2
1295000,4,2
699000,2,1
469900,0,1
2388800,3,3
681000,2,2
899000,2,2
595000,2,1
718000,2,2
599000,2,1
999900,2,2
5800000,4,3
699900,2,1
649000,1,1
439000,2,1
998000,4,2
879000,2,3
499000,1,1
1169000,4,3
799900,2,2
1139000,3,2
929000,3,2
859900,2,1
1080000,3,2
899000,6,4
924900,2,2
1274900,3,2
699000,2,1
935000,3,2
655000,2,1
699000,2,1
569900,1,1
625000,2,2
639900,2,1
1124900,2,1
3088000,4,5
2150000,6,2
999800,2,2
999000,2,2
599000,2,1
549000,2,1
639000,2,1
1150000,7,5
1895000,4,4
3679000,6,4
669990,2,1
899000,3,2
1300000,3,3
859000,2,2
669000,1,1
639000,1,1
1599900,4,4
829900,2,2
1995000,5,3
1075000,2,1
2499900,5,5
499000,1,1
2649999,5,4
1350000,4,2
650000,2,1
1249900,3,2
709000,1,1
889000,3,2
499000,2,1
619900,2,1
1349888,2,2
799990,2,2
979000,4,2
4499000,6,4
635000,2,2
949888,2,2
765000,2,1
1499999,2,1
1849000,0,0
560000,1,1
770000,3,2
1499999,4,4
849900,2,3
1649000,3,2
1688000,5,3
1450000,4,3
1200000,3,2
949000,4,3
1099000,8,5
1980000,0,0
1495000,2,4
698888,1,1
5678000,2,3
438000,2,1
559000,1,1
2099800,4,2
770000,1,1
2695000,4,4
2295000,3,3
870000,3,2
966000,2,2
1399999,3,3
699000,0,1
1499000,3,2
549900,1,1
499000,1,1
1099900,2,2
499999,1,1
650000,2,2
1099000,4,3
819000,2,2
899000,3,1
1499900,5,3
849000,3,2
580000,2,1
825000,2,2
1299800,3,2
615000,1,1
599000,2,1
1095000,2,1
899000,2,2
8478000,4,4
585000,1,1
2550000,2,2
1495000,2,1
1300000,2,3
2095000,3,2
595500,1,1
819800,2,2
755000,2,1
918000,3,2
749000,2,2
2488888,4,4
1199000,5,2
448800,3,2
788000,3,3
697000,2,1
709000,2,1
899900,2,2
1850000,5,5
1549000,3,3
569000,1,1
1039000,3,1
1799000,4,4
899000,2,1
599000,2,1
738000,2,1
619990,2,1
1150000,3,1
3495000,5,6
2588168,4,5
1699000,5,3
1699000,5,3
1250000,2,2
799999,2,2
2449000,4,4
699000,2,1
1139900,3,3
1199000,6,4
719000,1,1
515000,1,1
1499000,3,4
1599000,5,4
729000,2,2
1390000,3,2
558900,2,1
499000,1,1
1799000,4,3
579900,1,1
1089000,3,2
899000,2,1
865000,4,3
899900,4,2
599900,1,1
2495000,4,3
799900,2,2
799000,2,1
549000,1,1
1549000,3,3
1190000,4,2
749900,2,1
625000,1,1
2799000,3,2
809000,2,2
779000,3,2
2750000,3,3
799000,3,2
679000,2,1
5899000,5,5
1200000,2,2
3999000,4,4
849900,3,2
649000,2,2
3500000,6,4
749000,2,1
2665000,6,5
915000,3,2
729888,2,1
819900,3,2
739000,2,2
3288000,6,5
850000,2,1
2028900,3,3
899888,4,3
1250000,5,3
499000,1,1
836000,2,2
1499000,6,2
799888,1,1
850900,2,1
740900,2,2
685000,3,2
1029000,4,4
1250000,6,2
509990,2,1
928000,2,2
799900,2,2
2080000,4,3
1050000,2,2
915900,2,2
1650000,3,3
499800,2,1
1199900,3,3
849000,2,2
718000,2,1
818000,2,2
685000,1,1
1039000,2,3
738000,2,2
799000,2,2
929000,4,3
1090000,4,2
979000,3,3
1099000,4,3
948800,4,3
2379000,6,7
839999,2,2
1795000,3,1
739000,2,2
839999,2,2
649800,2,2
549000,1,1
1149900,2,3
12750000,4,7
699800,2,1
3798000,5,5
699900,2,2
1250000,4,3
1449000,5,4
519888,2,1
1189000,3,2
618900,2,1
565000,1,1
545000,1,1
1345000,4,2
1999000,3,3
1100000,2,2
2199888,6,4
899000,3,2
749000,2,2
2229000,4,2
689000,2,2
1138000,2,2
999000,2,2
725000,2,2
1100000,2,2
609999,2,1
599000,1,1
1060000,7,5
598000,1,1
588000,3,2
999000,2,2
5999999,5,5
1800000,4,3
899000,3,2
659900,2,2
1000000,3,2
1094000,2,2
1250000,4,2
1300000,4,3
698000,2,1
1649000,2,3
1079000,3,2
2149000,4,3
932900,3,2
680000,2,2
649000,1,1
2399000,3,4
569900,2,1
678000,2,1
1899000,4,3
729000,2,1
3349000,5,5
749000,1,1
1275000,2,2
8688000,6,7
619000,1,1
524999,3,1
599999,2,1
1595900,2,3
1975000,3,2
1399000,3,2
1099000,4,2
559900,1,1
845000,2,2
2698000,4,4
2998000,4,5
749900,2,2
725000,3,2
1199900,4,3
839999,2,1
999900,4,3
929000,4,2
1480000,5,5
1129000,4,2
942000,1,1
925000,3,1
769900,2,2
1079000,3,2
1699000,4,3
695000,2,1
649000,1,1
1019000,2,2
658000,2,1
999900,2,2
688000,1,1
479900,0,1
949900,3,2
489900,1,1
669800,2,2
1579900,5,4
939000,2,2
860000,2,2
658000,1,1
3450000,4,4
649000,2,1
3849000,4,6
2999000,5,4
898000,2,2
7995000,5,6
639900,1,1
584000,2,1
1199900,2,3
919900,2,2
1428000,2,2
12750000,5,8
1575000,4,2
699000,3,2
988000,2,1
1379900,4,2
2549000,4,4
744999,2,1
1849000,3,2
989000,3,2
850000,3,3
4336900,3,4
1329999,4,2
1399900,3,3
657999,2,1
998000,4,2
999000,4,1
949000,3,2
3249000,6,5
1099000,4,2
729000,2,2
2850000,5,4
999900,2,2
738000,2,1
719900,2,1
804800,2,2
1399000,4,3
999000,4,3
879000,2,3
899000,2,2
599000,1,1
650000,2,1
599900,1,1
949000,4,2
899000,3,3
619900,2,1
749000,3,2
1799000,3,3
1588000,5,5
648800,1,1
3249000,6,4
718000,2,1
795000,2,1
999000,2,1
995900,2,2
789000,2,2
575000,1,1
1799000,3,2
679900,2,1
499999,2,1
699000,3,2
758000,2,1
799000,2,2
738000,2,2
1338000,1,1
549000,1,1
749000,2,2
2199000,11,4
1279900,6,3
3598000,9,5
2285000,4,4
1859000,3,3
619000,2,1
968000,3,2
1649000,4,4
1089000,2,2
848000,3,2
949000,3,1
1039900,4,2
1079000,3,2
1049000,4,3
645000,1,1
539000,1,1
679800,2,2
610000,1,1
874000,2,2
1988000,3,2
1399000,3,2
888000,2,1
1188000,3,2
649000,2,2
899880,2,2
1895000,3,2
529000,1,1
789000,2,2
1599900,6,3
679900,2,2
2159000,4,3
1975000,5,5
1129000,2,2
1147000,3,2
969900,2,3
1499990,4,3
989900,5,2
899900,2,1
579000,1,1
675000,2,2
574900,2,1
699000,2,2
1950000,4,2
499000,1,1
2000000,5,3
1989000,5,4
1289000,3,2
739000,2,2
899000,3,2
999888,3,3
585000,1,1
749900,2,1
499999,1,1
949000,4,1
2095000,1,1
499000,4,3
1049900,3,3
1048000,2,1
749900,4,4
1699000,3,2
500000,2,2
1399000,1,1
699888,2,2
788888,1,1
1249900,4,2
1720000,3,2
1249000,3,2
399900,2,1
499990,3,2
1699999,4,3
949000,4,3
499999,2,1
925000,3,2
759000,2,2
999000,2,2
850000,2,2
659900,2,1
2688000,5,5
1399000,3,3
1995000,5,2
1099000,4,2
788000,2,2
664900,2,1
468500,1,1
2149000,5,3
674000,2,1
3195000,4,4
690000,2,2
2799000,5,4
642000,1,1
1389000,3,2
1265000,3,2
1699000,2,2
499000,1,1
499888,1,1
1049888,4,3
698000,2,1
2849888,3,4
1328000,3,2
599999,2,1
1365000,3,2
1550000,4,3
610000,2,1
1099000,4,2
975000,2,2
745000,2,2
1099000,2,2
738880,2,1
799900,3,1
2999999,3,3
699900,2,1
3339000,6,5
618000,1,1
1649000,4,3
3599900,3,4
699990,2,2
1300000,4,2
975000,2,1
899000,3,2
799000,2,2
849000,3,2
3699000,4,4
525000,1,1
1099000,3,3
2595000,7,6
1259900,4,1
1225000,2,2
925000,2,1
1250000,2,2
589900,1,1
680000,2,2
849900,2,2
1199000,3,2
799000,3,3
509000,1,1
1900000,4,3
598888,2,1
1095000,2,2
1479000,5,3
998000,5,4
1299000,3,2
849000,3,2
980000,2,2
4739000,5,6
998000,3,2
1299900,2,2
2799000,4,4
2495000,3,3
1450000,2,2
699900,1,1
599000,2,1
849000,2,2
599900,1,1
599000,1,1
1399900,5,2
1709000,4,2
620000,2,1
1129000,3,3
1950000,4,3
1698000,3,2
988000,3,2
699900,2,1
749000,2,1
3199999,4,5
549800,1,1
359000,1,1
429000,0,1
3695000,5,4
799000,3,2
2249000,6,5
659990,1,1
899000,4,2
975000,3,2
1099000,3,2
749900,3,1
2399000,4,4
415000,2,1
999999,3,2
1499000,5,4
2499998,5,4
1699000,6,5
1599000,3,3
1499000,3,2
749999,2,1
2388000,4,4
629000,2,1
1250000,2,2
629000,2,1
815000,2,1
520000,1,1
599900,2,1
599900,2,1
6095000,5,5
2099000,4,3
749900,2,1
679000,2,1
3849000,4,4
898800,3,2
1098999,3,2
579000,1,1
599000,2,1
724900,2,1
1249000,4,3
649900,2,1
949000,3,3
730000,2,1
1149000,4,2
499900,3,1
1149000,7,3
799000,3,2
1525000,5,2
45000,3,5
599000,2,1
678888,2,1
1829000,4,5
595000,2,1
765000,2,1
599000,1,1
1349000,3,1
659100,2,1
1139000,2,2
1290000,3,3
1999000,4,3
3379000,6,4
729000,2,1
1195000,3,3
839000,2,1
2399000,2,3
1200000,3,2
749900,3,2
399000,1,1
525000,2,1
899000,3,1
3149900,3,5
1695000,4,3
999785,3,2
1155000,3,2
1080000,2,2
1150000,3,2
899900,3,2
499999,1,1
619000,2,1
798000,4,2
